Date,AGL.AX,ASB.AX,CGC.AX,CHN.AX,FGL.AX,HLI.AX,LER.AX,MFG.AX,MIN.AX,NXL.AX,PPT.AX,S32.AX
2022-09-28,2611896,1122540,1985351,1516670,120000.0,1094768,102686.0,1037733,804267,767700,243110,19310665
2022-09-29,3751530,986615,1567434,2490569,171821.0,1368415,1463695.0,1000555,876755,958247,276046,27149712
2022-09-30,4621846,1003431,1570036,3223129,749206.0,939976,97690.0,1933833,1038334,1129976,183327,32911358
2022-10-03,1593679,1535212,891978,2048741,132209.0,705451,126368.0,989834,754794,876090,129769,22216180
2022-10-04,4839611,1748050,1282711,2367359,214201.0,1805893,505209.0,1993295,1027457,756660,192227,38308643
2022-10-05,3736782,804229,947079,2301316,202300.0,2452675,837413.0,1323726,1283147,561127,320444,23021451
2022-10-06,2437915,956272,897288,1576309,0.0,1760595,764263.0,3413169,841554,204624,502177,32283674
2022-10-07,2843936,702298,513010,1303431,0.0,656268,505917.0,1767972,1002100,286879,216515,15682634
2022-10-10,2120208,481803,568714,1067536,175000.0,878409,156026.0,950696,855749,715015,257873,13490172
2022-10-11,2121306,631286,988636,1340599,200000.0,797023,0.0,1541129,1242727,430104,396929,23698787
2022-10-12,1586988,611188,813877,1221897,0.0,2176089,360900.0,858525,869665,397884,406623,24123802
2022-10-13,1975208,597177,920394,792996,2525.0,1458418,2180422.0,938087,927819,629426,365363,18057413
2022-10-14,1407945,615901,589700,1048226,0.0,1499813,342936.0,748758,1063540,499547,354627,14334721
2022-10-17,1941632,281637,11624155,984590,358765.0,795500,360091.0,571864,763409,279640,253094,26805683
2022-10-18,1552753,479627,7047689,1447218,4546.0,1421930,327808.0,1097663,912222,406640,307755,18664493
2022-10-19,1449066,961171,5006524,3690324,72872.0,1464743,107.0,1150267,784719,552108,211686,20553269
2022-10-20,1425583,1257849,2089253,3560334,409636.0,1001208,589809.0,1962435,1667685,574355,315623,44037696
2022-10-21,3195257,1689397,1277465,2259367,35000.0,520202,174801.0,1593084,1211692,837861,377771,23257302
2022-10-24,1512493,1127665,1057476,2390325,0.0,843045,883480.0,1399087,1454915,248368,145575,33026474
2022-10-25,1393809,893627,775325,1748040,0.0,2005596,2746.0,1359313,1125572,296851,158792,30131026
2022-10-26,2373338,1340002,3927846,1141531,452541.0,875027,2982867.0,1018624,1713471,526872,123935,21514966
2022-10-27,2024464,752398,1851217,991198,350128.0,1743673,2800875.0,1080051,1715314,392819,654587,22489693
2022-10-28,2155669,234201,1319951,957089,105374.0,821290,1111597.0,1009348,1270836,318722,161613,16559143
2022-10-31,1542437,1779450,1943047,1189699,0.0,923323,12033274.0,1367635,1810343,355132,219637,16747416
2022-11-01,2501026,593068,1622087,1861412,55200.0,6026920,6791671.0,1186669,794356,514398,134252,14557393
2022-11-02,1855486,923850,1933005,1310315,25000.0,3742939,9082248.0,1125741,657695,232319,216016,19728507
2022-11-03,2043988,362511,1226680,1056708,177000.0,1886789,5036630.0,1236676,1039886,359536,1429086,17288046
2022-11-04,2530236,341754,798704,1059860,0.0,3155360,1921686.0,1877991,894742,442874,940472,18482809
2022-11-07,1785627,357439,1033073,1199479,0.0,1727406,1511714.0,853127,791465,384543,403057,17011184
2022-11-08,2216151,585799,1109615,708594,0.0,1782468,8091500.0,2013128,933368,678112,363208,19604647
2022-11-09,2378159,583141,1008805,1910774,307354.0,1847923,4426057.0,1194232,961297,534968,245130,22733923
2022-11-10,5996548,362386,756538,1122959,6895.0,1339810,1709477.0,1873178,893120,368109,1118170,15185432
2022-11-11,2937524,620104,1390226,2566291,3600.0,2353819,4693171.0,2082733,1483981,739981,814667,23467753
2022-11-14,1372155,487394,1008579,2747503,1314080.0,1342102,1600762.0,1505780,1063237,268236,484990,34307465
2022-11-15,1790130,255538,974229,1223783,0.0,1170593,950311.0,1224743,1542451,152983,256866,20449389
2022-11-16,1508698,292638,673019,1828089,805349.0,936364,2485379.0,946996,923032,242972,272590,17879974
2022-11-17,1596491,294529,1137239,1640430,796461.0,739375,518338.0,1064329,868162,128729,1567244,27549550
2022-11-18,2014846,233991,697901,1036117,299109.0,514026,545002.0,854917,1398839,2943875,473177,20865856
2022-11-21,2604136,203538,937659,1141941,35717.0,607783,582187.0,788707,793016,1073822,372611,23343428
2022-11-22,1710318,364328,695456,6558877,0.0,867540,5570656.0,563489,647941,320878,468522,27870570
2022-11-23,1201400,499185,1182687,3081121,0.0,767249,5107258.0,624969,956191,757044,314785,12165904
2022-11-24,1127160,317178,447227,3708959,46153.0,665728,5132081.0,1114791,642452,364121,1087879,12637483
2022-11-25,2480765,251187,562905,1725499,43150.0,540247,1607143.0,902655,1207709,224905,319385,10315454
2022-11-28,2939665,396936,1126056,1285936,66003.0,560258,5730680.0,1131741,889456,257502,489339,14526811
2022-11-29,1369403,316894,1687735,1592064,33000.0,846731,6030889.0,974260,686961,301350,373878,22124678
2022-11-30,1735820,1250961,1714523,3142621,50000.0,1769044,55272.0,1956231,2118824,253978,596938,28713420
2022-12-01,1359163,471666,611274,2209010,0.0,696293,3944728.0,1430126,863776,344741,213462,34410284
2022-12-02,1207622,460484,854448,4174805,0.0,778640,2210483.0,1284917,987362,914025,261868,22760263
2022-12-05,1506115,312722,1848714,4802858,0.0,765441,1455595.0,1443270,864938,336380,289549,24370952
2022-12-06,1364721,1898315,890215,2743309,0.0,1112569,508001.0,1716050,1026311,279511,393543,25169601
2022-12-07,1745422,749870,922599,1616292,0.0,394881,1948500.0,1785528,1277119,396278,349554,24797008
2022-12-08,2793758,627057,1206156,6333597,0.0,672212,739032.0,1233682,1244310,218953,462708,33483440
2022-12-09,2542309,570761,698771,4845786,272727.0,774367,1978325.0,1185166,629261,282530,316701,16644968
2022-12-12,5001700,800510,685972,1662463,0.0,1529261,560901.0,1344212,772981,259855,218799,17689444
2022-12-13,1501493,988020,510692,6511627,0.0,3126442,1819189.0,1424561,851975,270123,331664,17533878
2022-12-14,1876693,835361,781982,4862998,485100.0,745499,1070447.0,1172852,885396,129017,328931,17683799
2022-12-15,1916231,499908,907214,3309954,9.0,776700,340650.0,816081,1476591,98236,443551,15563307
2022-12-16,3928037,901493,1298674,3848695,0.0,1209097,32044.0,980228,1503332,317460,418181,31134213
2022-12-19,683112,738515,232591,1719575,0.0,589627,1036270.0,833620,491341,185039,227954,9803846
2022-12-20,4311676,620499,736983,2277153,0.0,1190425,646821.0,990345,916492,335317,391409,14738121
2022-12-21,2191393,348517,844674,3299151,716528.0,927283,3808269.0,912116,805351,158114,191676,14703043
